Movie_Title,Released_Year,Rating,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,No_of_Votes,Gross,Num_Genres
Being John Malkovich,1999,R,113,Comedy,7.7,90.0,Spike Jonze,John Cusack,312542,22858926,3
As Good as It Gets,1997,R,139,Comedy,7.7,67.0,James L. Brooks,Jack Nicholson,275755,148478011,3
The Fifth Element,1997,PG-13,126,Action,7.7,52.0,Luc Besson,Bruce Willis,434125,63540020,3
Le dîner de cons,1998,PG-13,80,Comedy,7.7,73.0,Francis Veber,Thierry Lhermitte,37424,4065116,1
Donnie Brasco,1997,R,127,Biography,7.7,76.0,Mike Newell,Al Pacino,279318,41909762,3
Shine,1996,G,105,Biography,7.7,87.0,Scott Hicks,Geoffrey Rush,51350,35811509,3
Primal Fear,1996,R,129,Crime,7.7,47.0,Gregory Hoblit,Richard Gere,189716,56116183,3
A Little Princess,1995,G,97,Drama,7.7,83.0,Alfonso Cuarón,Liesel Matthews,32236,10019307,3
Il postino,1994,G,108,Biography,7.7,81.0,Michael Radford,Massimo Troisi,33600,21848932,3
Clerks,1994,R,92,Comedy,7.7,70.0,Kevin Smith,Brian O'Halloran,211450,3151130,1
Short Cuts,1993,R,188,Comedy,7.7,79.0,Robert Altman,Andie MacDowell,42275,6110979,2
Philadelphia,1993,PG-13,125,Drama,7.7,66.0,Jonathan Demme,Tom Hanks,224169,77324422,1
The Muppet Christmas Carol,1992,G,85,Comedy,7.7,64.0,Brian Henson,Michael Caine,50298,27281507,3
Malcolm X,1992,G,202,Biography,7.7,73.0,Spike Lee,Denzel Washington,85819,48169908,3
The Last of the Mohicans,1992,PG-13,112,Action,7.7,76.0,Michael Mann,Daniel Day-Lewis,150409,75505856,3
Glengarry Glen Ross,1992,R,100,Crime,7.7,82.0,James Foley,Al Pacino,95826,10725228,3
A Few Good Men,1992,G,138,Drama,7.7,62.0,Rob Reiner,Tom Cruise,235388,141340178,2
Fried Green Tomatoes,1991,PG-13,130,Drama,7.7,64.0,Jon Avnet,Kathy Bates,66941,82418501,1
Barton Fink,1991,G,116,Comedy,7.7,69.0,Joel Coen,Ethan Coen,113240,6153939,3
Miller's Crossing,1990,R,115,Crime,7.7,66.0,Joel Coen,Ethan Coen,125822,5080409,3
Who Framed Roger Rabbit,1988,G,104,Animation,7.7,83.0,Robert Zemeckis,Bob Hoskins,182009,156452370,3
Withnail & I,1987,R,107,Comedy,7.7,84.0,Bruce Robinson,Richard E. Grant,40396,1544889,2
